2019-04-12 20:39:23.286561_1,Lil Nas X,Old Town Road - Remix,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7,90
2019-04-12 20:39:23.286561_2,Billie Eilish,bad guy,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,98
2019-04-12 20:39:23.286561_3,Lil Nas X,Old Town Road,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O,95
2019-04-12 20:39:23.286561_4,Various Artists,Sunflower - Spider-Man: Into the Spider-Verse,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,98
2019-04-12 20:39:23.286561_5,J. Cole,MIDDLE CHILD,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,96
2019-04-12 20:39:23.286561_6,Lil Uzi Vert,Sanguine Paradise,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN,72
2019-04-12 20:39:23.286561_7,Billie Eilish,wish you were gay,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD,92
2019-04-12 20:39:23.286561_8,A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine),https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,94
2019-04-12 20:39:23.286561_9,Post Malone,Wow.,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,98
2019-04-12 20:39:23.286561_10,Billie Eilish,bury a friend,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF,92
2019-04-12 20:39:23.286561_11,Meek Mill,Going Bad (feat. Drake),https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,94
2019-04-12 20:39:23.286561_12,Khalid,Talk,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq,80
2019-04-12 20:39:23.286561_13,Ariana Grande,7 rings,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,94
2019-04-12 20:39:23.286561_14,YNW Melly,Murder On My Mind,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC,94
