2019-04-17 00:25:34.066869_1,Pop,Oasis,Wonderwall,1878153,https://www.last.fm/music/Oasis/_/Wonderwall
2019-04-17 00:25:34.221735_2,Pop,The Killers,Somebody Told Me,1654089,https://www.last.fm/music/The+Killers/_/Somebody+Told+Me
2019-04-17 00:25:34.386287_3,Pop,Coldplay,Viva la Vida,1637523,https://www.last.fm/music/Coldplay/_/Viva+la+Vida
2019-04-17 00:25:34.553062_4,Pop,Coldplay,Clocks,1615836,https://www.last.fm/music/Coldplay/_/Clocks
2019-04-17 00:25:34.719621_5,Pop,Coldplay,The Scientist,1607673,https://www.last.fm/music/Coldplay/_/The+Scientist
2019-04-17 00:25:34.887638_6,Pop,MGMT,Kids,1587041,https://www.last.fm/music/MGMT/_/Kids
2019-04-17 00:25:35.073862_7,Pop,Coldplay,Yellow,1573056,https://www.last.fm/music/Coldplay/_/Yellow
2019-04-17 00:25:35.369060_8,Pop,Coldplay,Fix You,1493265,https://www.last.fm/music/Coldplay/_/Fix+You
2019-04-17 00:25:35.529134_9,Pop,Gorillaz,Feel Good Inc.,1493044,https://www.last.fm/music/Gorillaz/_/Feel+Good+Inc.
2019-04-17 00:25:35.691793_10,Pop,Lady Gaga,Poker Face,1443981,https://www.last.fm/music/Lady+Gaga/_/Poker+Face
2019-04-17 00:25:35.851366_11,Pop,Snow Patrol,Chasing Cars,1386242,https://www.last.fm/music/Snow+Patrol/_/Chasing+Cars
2019-04-17 00:25:36.146576_12,Pop,Ke$ha,TiK ToK,1329947,https://www.last.fm/music/Ke$ha/_/TiK+ToK
2019-04-17 00:25:36.337280_13,Pop,Goo Goo Dolls,Iris,1306919,https://www.last.fm/music/Goo+Goo+Dolls/_/Iris
2019-04-17 00:25:36.635048_14,Pop,Jason Mraz,I'm Yours,1285137,https://www.last.fm/music/Jason+Mraz/_/I%27m+Yours
2019-04-17 00:25:36.794405_15,Pop,Adele,Rolling in the Deep,1252856,https://www.last.fm/music/Adele/_/Rolling+in+the+Deep
2019-04-17 00:25:36.956996_16,Pop,Gorillaz,Clint Eastwood,1234014,https://www.last.fm/music/Gorillaz/_/Clint+Eastwood
2019-04-17 00:25:37.115167_17,Pop,Foster the People,Pumped Up Kicks,1230181,https://www.last.fm/music/Foster+the+People/_/Pumped+Up+Kicks
2019-04-17 00:25:37.410515_18,Pop,Michael Jackson,Billie Jean,1215483,https://www.last.fm/music/Michael+Jackson/_/Billie+Jean
2019-04-17 00:25:37.573121_19,Pop,R.E.M.,Losing My Religion,1198163,https://www.last.fm/music/R.E.M./_/Losing+My+Religion
2019-04-17 00:25:37.882633_20,Pop,Katy Perry,I Kissed a Girl,1195771,https://www.last.fm/music/Katy+Perry/_/I+Kissed+a+Girl
2019-04-17 00:25:38.043185_21,Pop,Amy Winehouse,Rehab,1181382,https://www.last.fm/music/Amy+Winehouse/_/Rehab
2019-04-17 00:25:38.274487_22,Pop,The Killers,Smile Like You Mean It,1175591,https://www.last.fm/music/The+Killers/_/Smile+Like+You+Mean+It
2019-04-17 00:25:38.432560_23,Pop,The Verve,Bitter Sweet Symphony,1166438,https://www.last.fm/music/The+Verve/_/Bitter+Sweet+Symphony
2019-04-17 00:25:38.597725_24,Pop,Amy Winehouse,Back to Black,1162709,https://www.last.fm/music/Amy+Winehouse/_/Back+to+Black
2019-04-17 00:25:38.756176_25,Pop,a-ha,Take on Me,1154125,https://www.last.fm/music/a-ha/_/Take+on+Me
2019-04-17 00:25:38.909052_26,Pop,M.I.A.,Paper Planes,1143835,https://www.last.fm/music/M.I.A./_/Paper+Planes
2019-04-17 00:25:39.075072_27,Pop,The Fray,How to Save a Life,1142705,https://www.last.fm/music/The+Fray/_/How+to+Save+a+Life
2019-04-17 00:25:39.239634_28,Pop,Coldplay,Don't Panic,1140927,https://www.last.fm/music/Coldplay/_/Don%27t+Panic
2019-04-17 00:25:39.404192_29,Pop,Lady Gaga,Bad Romance,1140580,https://www.last.fm/music/Lady+Gaga/_/Bad+Romance
2019-04-17 00:25:39.560016_30,Pop,Maroon 5,She Will Be Loved,1129700,https://www.last.fm/music/Maroon+5/_/She+Will+Be+Loved
2019-04-17 00:25:39.724063_31,Pop,Florence + the Machine,Dog Days Are Over,1129375,https://www.last.fm/music/Florence+%252B+the+Machine/_/Dog+Days+Are+Over
2019-04-17 00:25:39.941040_32,Pop,The Postal Service,Such Great Heights,1117928,https://www.last.fm/music/The+Postal+Service/_/Such+Great+Heights
2019-04-17 00:25:40.106434_33,Pop,Coldplay,In My Place,1116217,https://www.last.fm/music/Coldplay/_/In+My+Place
2019-04-17 00:25:40.272150_34,Pop,Coldplay,Trouble,1114302,https://www.last.fm/music/Coldplay/_/Trouble
2019-04-17 00:25:40.433269_35,Pop,Gnarls Barkley,Crazy,1109377,https://www.last.fm/music/Gnarls+Barkley/_/Crazy
2019-04-17 00:25:40.595285_36,Pop,Coldplay,Speed of Sound,1083298,https://www.last.fm/music/Coldplay/_/Speed+of+Sound
2019-04-17 00:25:40.753013_37,Pop,Kanye West,Heartless,1079992,https://www.last.fm/music/Kanye+West/_/Heartless
2019-04-17 00:25:40.906684_38,Pop,Lady Gaga,Paparazzi,1068997,https://www.last.fm/music/Lady+Gaga/_/Paparazzi
2019-04-17 00:25:41.226883_39,Pop,Keane,Somewhere Only We Know,1067224,https://www.last.fm/music/Keane/_/Somewhere+Only+We+Know
2019-04-17 00:25:41.450411_40,Pop,Maroon 5,This Love,1064940,https://www.last.fm/music/Maroon+5/_/This+Love
2019-04-17 00:25:41.662981_41,Pop,Michael Jackson,Thriller,1050566,https://www.last.fm/music/Michael+Jackson/_/Thriller
2019-04-17 00:25:41.963655_42,Pop,Gorillaz,DARE,1049957,https://www.last.fm/music/Gorillaz/_/DARE
2019-04-17 00:25:42.190867_43,Pop,The Cure,Friday I'm in Love,1044896,https://www.last.fm/music/The+Cure/_/Friday+I%27m+in+Love
2019-04-17 00:25:42.374554_44,Pop,Amy Winehouse,You Know I'm No Good,1041174,https://www.last.fm/music/Amy+Winehouse/_/You+Know+I%27m+No+Good
2019-04-17 00:25:42.544605_45,Pop,Gotye,Somebody That I Used To Know,1039878,https://www.last.fm/music/Gotye/_/Somebody+That+I+Used+To+Know
2019-04-17 00:25:42.846180_46,Pop,Lady Gaga,Just Dance,1032046,https://www.last.fm/music/Lady+Gaga/_/Just+Dance
2019-04-17 00:25:43.083910_47,Pop,U2,With or Without You,802372,https://www.last.fm/music/U2/_/With+or+Without+You
2019-04-17 00:25:43.243354_48,Pop,Coldplay,Violet Hill,1005222,https://www.last.fm/music/Coldplay/_/Violet+Hill
2019-04-17 00:25:43.437349_49,Pop,Simon & Garfunkel,The Sound of Silence,999438,https://www.last.fm/music/Simon+&+Garfunkel/_/The+Sound+of+Silence
2019-04-17 00:25:43.731766_50,Pop,Weezer,Island in the Sun,998754,https://www.last.fm/music/Weezer/_/Island+in+the+Sun
2019-04-17 00:25:44.653835_1,Classical,Ludwig van Beethoven,Für Elise,482830,https://www.last.fm/music/Ludwig+van+Beethoven/_/F%C3%BCr+Elise
2019-04-17 00:25:44.808171_2,Classical,Claude Debussy,Clair de lune,467836,https://www.last.fm/music/Claude+Debussy/_/Clair+de+lune
2019-04-17 00:25:44.971010_3,Classical,Ludwig van Beethoven,Moonlight Sonata,349627,https://www.last.fm/music/Ludwig+van+Beethoven/_/Moonlight+Sonata
2019-04-17 00:25:45.273112_4,Classical,Yann Tiersen,Sur le fil,323674,https://www.last.fm/music/Yann+Tiersen/_/Sur+le+fil
