Id,Genre,Artist,Song,Listeners,URL
2019-04-16 22:48:50.238395_47,pop,U2,With or Without You,802372,https://www.last.fm/music/U2/_/With+or+Without+You
2019-04-16 22:48:50.476061_48,pop,Coldplay,Violet Hill,1005222,https://www.last.fm/music/Coldplay/_/Violet+Hill
2019-04-16 22:48:50.779138_49,pop,Simon & Garfunkel,The Sound of Silence,999438,https://www.last.fm/music/Simon+&+Garfunkel/_/The+Sound+of+Silence
2019-04-16 22:48:50.933600_50,pop,Weezer,Island in the Sun,998754,https://www.last.fm/music/Weezer/_/Island+in+the+Sun
2019-04-16 22:48:51.261508_1,classical,Ludwig van Beethoven,Für Elise,482830,https://www.last.fm/music/Ludwig+van+Beethoven/_/F%C3%BCr+Elise
2019-04-16 22:48:51.411176_2,classical,Claude Debussy,Clair de lune,467836,https://www.last.fm/music/Claude+Debussy/_/Clair+de+lune
2019-04-16 22:48:51.574394_3,classical,Ludwig van Beethoven,Moonlight Sonata,349627,https://www.last.fm/music/Ludwig+van+Beethoven/_/Moonlight+Sonata
2019-04-16 22:48:51.864370_4,classical,Yann Tiersen,Sur le fil,323674,https://www.last.fm/music/Yann+Tiersen/_/Sur+le+fil
2019-04-16 22:48:52.017456_5,classical,Gorillaz,Orchestral Intro,320068,https://www.last.fm/music/Gorillaz/_/Orchestral+Intro
2019-04-16 22:48:52.189732_6,classical,Yann Tiersen,Le Moulin,309888,https://www.last.fm/music/Yann+Tiersen/_/Le+Moulin
2019-04-16 22:48:52.350383_7,classical,Yann Tiersen,La Dispute,308481,https://www.last.fm/music/Yann+Tiersen/_/La+Dispute
2019-04-16 22:48:52.523792_8,classical,Yann Tiersen,A quai,284873,https://www.last.fm/music/Yann+Tiersen/_/A+quai
2019-04-16 22:48:52.696765_9,classical,Zara Larsson,Lush Life,283656,https://www.last.fm/music/Zara+Larsson/_/Lush+Life
2019-04-16 22:48:52.856766_10,classical,Ludwig van Beethoven,Symphony No. 9 (Scherzo),280629,https://www.last.fm/music/Ludwig+van+Beethoven/_/Symphony+No.+9+(Scherzo)
2019-04-16 22:48:53.028823_11,classical,Yann Tiersen,La Noyée,274902,https://www.last.fm/music/Yann+Tiersen/_/La+Noy%C3%A9e
